CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/18/2022,19:45,,,40.693905,-73.94892,"(40.693905, -73.94892)",WILLOUGHBY AVENUE,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Speed,,,,4520616,Station Wagon/Sport Utility Vehicle,E-Bike,,,
04/18/2022,8:08,BROOKLYN,11218,40.647694,-73.98037,"(40.647694, -73.98037)",FORT HAMILTON PARKWAY,MC DONALD AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4520305,Sedan,Sedan,,,
04/18/2022,5:00,QUEENS,11420,40.67986,-73.816605,"(40.67986, -73.816605)",LINDEN BOULEVARD,HAWTREE CREEK ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4520190,Sedan,Pick-up Truck,,,
04/18/2022,17:21,BROOKLYN,11204,40.628925,-73.98204,"(40.628925, -73.98204)",,,1744      49 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4520226,Box Truck,Sedan,,,
04/18/2022,23:00,,,,,,WEST SHORE EXPRESSWAY,,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,4521009,Sedan,,,,
04/18/2022,12:11,,,,,,BRONX WHITESTONE BRIDGE,,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4520961,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,22:10,STATEN ISLAND,10309,40.527805,-74.232376,"(40.527805, -74.232376)",,,2900      VETERANS ROAD WEST,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,4521008,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,8:00,BROOKLYN,11208,40.674072,-73.863,"(40.674072, -73.863)",SUTTER AVENUE,FORBELL STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4520799,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,15:10,STATEN ISLAND,10309,40.537457,-74.22136,"(40.537457, -74.22136)",SHARROTTS ROAD,ROBIN COURT,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4520868,Sedan,Garbage or Refuse,,,
04/18/2022,17:30,,,,,,,,1630      EAST 116 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4520790,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,23:17,BROOKLYN,11214,40.5867,-73.99567,"(40.5867, -73.99567)",BAY 44 STREET,HUNTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4520874,Sedan,,,,
04/18/2022,20:40,BRONX,10458,40.868317,-73.88189,"(40.868317, -73.88189)",WEBSTER AVENUE,EAST 201 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4520787,Sedan,Bike,,,
04/18/2022,22:11,STATEN ISLAND,10312,40.535923,-74.18084,"(40.535923, -74.18084)",AMBOY ROAD,ANNADALE ROAD,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4520993,Sedan,,,,
04/18/2022,17:15,QUEENS,11103,40.75749,-73.916916,"(40.75749, -73.916916)",,,32-12     43 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4521045,Box Truck,Sedan,,,
04/18/2022,12:20,QUEENS,11375,40.712635,-73.83462,"(40.712635, -73.83462)",,,118-17    UNION TURNPIKE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520846,Sedan,Box Truck,,,
04/18/2022,17:55,,,40.784515,-73.94983,"(40.784515, -73.94983)",3 AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,4521041,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,0:09,,,40.676003,-73.865395,"(40.676003, -73.865395)",CONDUIT BOULEVARD,GRANT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4520811,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,14:37,QUEENS,11385,40.709526,-73.89879,"(40.709526, -73.89879)",,,65-15     FRESH POND ROAD,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4520888,Station Wagon/Sport Utility Vehicle,E-Scooter,,,
04/18/2022,18:15,MANHATTAN,10035,40.803413,-73.93517,"(40.803413, -73.93517)",,,220       EAST 125 STREET,1,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4520789,Sedan,E-Bike,,,
04/18/2022,20:20,BROOKLYN,11208,40.661503,-73.86178,"(40.661503, -73.86178)",,,1145      GRANT AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4520813,Station Wagon/Sport Utility Vehicle,Bus,,,
04/18/2022,19:43,,,40.681473,-73.72776,"(40.681473, -73.72776)",LAURELTON PARKWAY,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4520142,Sedan,Sedan,,,
04/18/2022,11:30,QUEENS,11106,40.765224,-73.9317,"(40.765224, -73.9317)",21 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4521367,Sedan,Sedan,,,
04/18/2022,21:00,BROOKLYN,11215,40.67096,-73.98822,"(40.67096, -73.98822)",8 STREET,4 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4521407,Sedan,,,,
